/Users/romo_lab/Desktop/MUMmer3.23/ins/BG2_Chr_Complete.txt /Users/romo_lab/Desktop/MUMmer3.23/ins/NCBI_Clean.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
8526524	8529670	1	3147	3147	3147	99.84	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K05291g
296784	298550	1	1767	1767	1767	99.32	Nakaseomyces.glabratus.BG2.CP048230	CAGL0A02629g
642814	644115	1302	1	1302	1302	100.00	Nakaseomyces.glabratus.BG2.CP048230	CAGL0B01441g
2134170	2136533	2364	1	2364	2364	99.83	Nakaseomyces.glabratus.BG2.CP048230	CAGL0D05324g
10527715	10532058	1	4344	4344	4344	99.93	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L03520g
10964277	10969007	1	4731	4731	4731	99.79	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L11814g
4045274	4050865	1	5592	5592	5592	99.66	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G01034g
4846745	4850971	4227	1	4227	4227	99.88	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G09493g
9101238	9102389	1	1152	1152	1152	99.22	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K11231g
8942274	8944601	2328	1	2328	2328	98.71	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K09438g
8136050	8138836	2787	1	2787	2787	99.82	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K01507g
8393152	8393799	1	648	648	648	98.77	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K04147g
11516518	11517600	1083	1	1083	1083	99.72	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M02585g
11806699	11808006	1	1308	1308	1308	99.92	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M05511g
11933164	11935680	2517	1	2517	2517	99.48	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M07029g
11283293	11284936	1644	1	1644	1644	99.64	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M00528g
6053962	6054711	1	750	750	750	99.87	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L00693g
10882330	10884057	1728	1	1728	1728	100.00	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L11110g
10359995	10361422	1428	1	1428	1428	99.65	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L05060g
2814992	2817481	2490	1	2490	2490	99.56	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E05302g
3831197	3832834	1	1641	1638	1641	99.15	Nakaseomyces.glabratus.BG2.CP048230	CAGL0F08283g
3630603	3633335	1	2733	2733	2733	99.45	Nakaseomyces.glabratus.BG2.CP048230	CAGL0F06347g
9505857	9510395	4539	1	4539	4539	99.65	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I02222g
1144512	1147277	2769	1	2766	2769	99.64	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C01199g
1550351	1553455	3105	1	3105	3105	99.58	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C05599g
5583485	5585299	1	1779	1815	1779	97.02	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H06347g
5403632	5404750	1	1119	1119	1119	99.82	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H04653g
5351595	5355560	1	3966	3966	3966	99.82	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H04213g
7146887	7148290	1	1404	1404	1404	99.93	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J03828g
7916088	7919582	3495	1	3495	3495	99.86	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J11506g
1746813	1747898	1086	1	1086	1086	99.72	Nakaseomyces.glabratus.BG2.CP048230	CAGL0D01034g
6486976	6489156	1	2181	2181	2181	99.31	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I09130g
6713275	6714033	759	1	759	759	99.87	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I10769g
9342769	9343272	1	504	504	504	100.00	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I00352g
7374893	7377220	2322	1	2328	2322	99.57	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J06072g
7520365	7521399	1	1035	1035	1035	99.32	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J07436g
9095196	9096629	1434	1	1434	1434	99.02	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K11132g
8321337	8323448	2112	1	2112	2112	99.43	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K03399g
8804416	8807088	1	2673	2673	2673	99.40	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K08008g
8611798	8613135	1	1338	1338	1338	99.70	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K06193g
11914674	11916611	1	1938	1938	1938	99.85	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M06831g
11303590	11304903	1314	1	1314	1314	99.32	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M00748g
12107255	12109093	1839	1	1839	1839	99.46	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M08910g
11624470	11626244	1	1775	1775	1775	99.61	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M03597g
2608831	2609850	1	1020	1020	1020	99.41	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E03311g
2718454	2720055	1602	1	1602	1602	99.63	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E04334g
2749142	2750431	1	1290	1290	1290	99.53	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E04620g
2552865	2554511	1	1647	1647	1647	99.88	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E02629g
4508680	4509315	1	636	636	636	99.53	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G05786g
4131713	4132732	1	1020	1020	1020	99.51	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G02035g
1443167	1444273	1	1107	1107	1107	99.82	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C04477g
465642	468767	1	3126	3126	3126	99.62	Nakaseomyces.glabratus.BG2.CP048230	CAGL0A04565g
959756	963046	3291	1	3291	3291	99.79	Nakaseomyces.glabratus.BG2.CP048230	CAGL0B04631g
732776	734314	1	1539	1539	1539	99.87	Nakaseomyces.glabratus.BG2.CP048230	CAGL0B02321g
2195600	2197333	1	1734	1734	1734	99.54	Nakaseomyces.glabratus.BG2.CP048230	CAGL0D06028g
2174265	2175536	1	1272	1272	1272	99.29	Nakaseomyces.glabratus.BG2.CP048230	CAGL0D05786g
11395333	11396313	981	1	981	981	99.49	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M01540g
12040635	12042353	1	1719	1719	1719	99.59	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M08250g
11680883	11682688	1806	1	1806	1806	99.39	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M04191g
9834593	9835936	1344	1	1344	1344	99.85	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L01331g
10228067	10229512	1	1446	1446	1446	99.52	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L06226g
351207	352673	1467	1	1467	1467	98.98	Nakaseomyces.glabratus.BG2.CP048230	CAGL0A03300g
353607	354959	1	1353	1353	1353	99.41	Nakaseomyces.glabratus.BG2.CP048230	CAGL0A03322g
365013	368468	1	3456	3456	3456	99.68	Nakaseomyces.glabratus.BG2.CP048230	CAGL0A03432g
3549501	3552572	3072	1	3072	3072	99.77	Nakaseomyces.glabratus.BG2.CP048230	CAGL0F05379g
7104299	7106239	1	1941	1941	1941	99.64	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J03322g
7575254	7578988	1	3735	3735	3735	99.36	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J07942g
7791043	7793475	1	2433	2433	2433	99.71	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J10120g
8317403	8320339	2937	1	2937	2937	99.42	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K03377g
5693015	5694073	1	1059	1059	1059	99.53	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H07513g
5368371	5371208	2838	1	2838	2838	99.65	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H04367g
2539435	2543916	1	4482	4482	4482	99.84	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E02475g
4413670	4414770	1101	1	1101	1101	100.00	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G04851g
4027079	4028140	1	1062	1062	1062	98.13	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G00858g
4075728	4077044	1317	1	1317	1317	99.32	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G01320g
6226850	6233209	1	6360	6360	6360	99.53	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I06512g
1412153	1414015	1863	1	1863	1863	98.98	Nakaseomyces.glabratus.BG2.CP048230	CAGL0C04048g
6824498	6825964	1	1467	1467	1467	99.80	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J00539g
7804257	7806236	1980	1	1980	1980	99.60	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J10274g
7187592	7192136	1	4545	4545	4545	99.47	Nakaseomyces.glabratus.BG2.CP048230	CAGL0J04312g
12021398	12025330	1	3933	3933	3933	99.47	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M08052g
11543512	11545314	1	1803	1803	1803	99.61	Nakaseomyces.glabratus.BG2.CP048230	CAGL0M02871g
279298	281022	1722	1	1725	1722	99.13	Nakaseomyces.glabratus.BG2.CP048230	CAGL0A02475g
5071915	5075883	3975	1	3969	3975	99.62	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H01287g
5514561	5516441	1	1881	1881	1881	99.57	Nakaseomyces.glabratus.BG2.CP048230	CAGL0H05621g
8383383	8389076	1	5694	5694	5694	99.32	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K04037g
8394591	8395787	1	1197	1197	1197	99.67	Nakaseomyces.glabratus.BG2.CP048230	CAGL0K04169g
6323511	6326741	1	3231	3231	3231	99.41	Nakaseomyces.glabratus.BG2.CP048230	CAGL0I07513g
718962	725333	6375	4	6372	6372	99.72	Nakaseomyces.glabratus.BG2.CP048230	CAGL0B02211g
2564535	2568146	1	3612	3612	3612	99.92	Nakaseomyces.glabratus.BG2.CP048230	CAGL0E02783g
3186395	3188123	75	1803	1729	1729	99.36	Nakaseomyces.glabratus.BG2.CP048230	CAGL0F01837g
3979066	3980745	1680	1	1680	1680	99.52	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G00286g
4855301	4858927	3627	1	3627	3627	98.81	Nakaseomyces.glabratus.BG2.CP048230	CAGL0G09559g
10028189	10029244	1056	1	1056	1056	99.72	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L08184g
1659701	1660228	1	528	528	528	100.00	Nakaseomyces.glabratus.BG2.CP048230	CAGL0L00605g
